fit_time(m),aic,MAE,RMSE
0,16687.86828032807,4461.0785073173265,5936.9738891235575
0,16953.348812887492,4008.4665523519006,5158.738732698177
0,14986.388110452217,921.4400406125849,1118.626083200301
0,16482.90586218753,4590.591193796659,6034.493064636366
0,16988.11386350948,5661.573557055744,7379.040893711828
0,15609.01669331566,2529.955282432871,3240.512802213444
0,16876.743496541145,4071.677543141239,5118.055231323444
0,15700.42399286171,1323.2010121456879,1657.0986480100694
0,15016.259799812395,987.8964827686982,1246.5313943815843
0,16656.613250337126,3306.785832729409,4102.441629258089
0,15362.421455026513,1029.6482644202476,1288.3676699052185
0,15469.384190405752,1240.4917493642604,1598.4827500961437
0,16258.219381338293,3811.1417257771736,4980.693935039035
0,14979.948533508867,1016.4136214417811,1256.5873761075054
0,15768.546334396842,1351.4702255519242,1715.9738990316828
0,17305.046182232305,7409.316802676774,9554.348946999502
0,16654.647620906224,5859.398381707065,7749.961816569412
0,15358.489113692576,1059.9807242179006,1309.2192859178956
0,17344.91245642263,6423.070159532315,8594.567157184516
0,16502.436784478494,1866.679262290908,2413.8081668730038
0,16181.338751484001,2634.278993740833,3397.858032731693
0,15539.20729046224,1786.3781077076346,2262.27608431918
0,16992.35000330062,5544.626962974929,7011.721878057609
0,16734.764625370775,4403.625668127604,5608.4487403665025
0,15773.368100041478,1793.450443460924,2243.662516226464
0,15559.786424126178,1513.3540337512852,1918.724042853105
0,17710.387664845657,7166.821789647505,8646.045327892207
0,17282.444113597885,6570.3269512060015,8861.788523252091
0,16662.205376859558,4704.333026393198,6252.101932756826
0,16601.10377098252,3103.0954449373794,4001.702818619504
0,16862.244630533754,4313.228933343918,5518.995470176615
0,15740.155690424981,1415.002708100614,1786.589865916462
0,15050.173829793192,976.3793957459519,1196.789410689571
0,15508.884704285967,1539.2381790258082,1946.864102974226
0,15836.743626226216,1652.877959262818,2053.7790819081983
0,14833.208474721516,937.7280537038139,1209.5888656579903
0,15154.34194687752,1266.9827885279549,1634.5490836583033
0,15134.67747079982,1124.1921418695067,1419.121271776339
0,15427.73545262482,1503.8322204931237,1831.7098339676236
0,15880.34588030077,1489.1696025440679,1811.6940474511912
0,15465.889105197166,1320.780551679037,1622.3685503454249
0,14969.261297441017,1070.371612583275,1352.1812288150245
0,15028.804547295618,1041.3722847376455,1338.090416272391
0,15430.607412814203,1154.1078865941945,1508.806991349588
0,15227.294065859562,1148.724856571666,1466.4303899587144
0,15548.804058420119,1089.167888001709,1361.3391817795382
0,15437.4868464246,1036.2640015470868,1302.030802014489
0,15916.474168198325,1654.589778784989,2080.5726614814066
0,14743.235573500164,871.7867954886156,1120.4273134230746
0,15751.184351431426,1397.8650232453338,1762.4149550201769
0,15592.25486785578,1243.1145281739286,1615.9603123678423
0,15346.34521387919,1078.1763346322718,1397.5522449798648
0,16064.250107894844,1383.0968286986151,1763.6988201197782
0,15815.48961611109,1308.8883663591037,1614.4993327082398
0,16147.192346536249,2520.1710030822887,3288.953938102546
0,15667.996266359782,1347.6179116396165,1733.3043499699133
0,14715.578689226571,918.3484554524493,1184.0948665531846
0,15464.686886705696,1285.1246271044436,1628.4994165176522
0,15413.494448046142,1408.993269445233,1789.5776757270446
0,16214.90222377401,1947.3821651641251,2595.004165954068
0,15927.157488300401,1941.202399721724,2520.085102193378
0,15975.119541254888,2042.053154341579,2650.159143984869
0,15884.491925647995,1880.2097660280585,2441.422149798873
0,15550.827011673748,1363.402386367698,1701.9565457254014
0,16218.096723436329,2763.4882470353123,3577.7316724976135
0,15607.952122630548,1533.786780967691,2021.6446726437202
0,16236.322513066396,2124.6811962836982,2707.422825800577
0,16743.945898842325,2442.952356942976,3095.346383909764
0,15703.487559622185,2254.4787472787175,2917.5037339253913
0,15551.259776111114,1732.5897920818006,2174.6853143199996
0,15836.970428276425,1602.51337941066,2012.813979717515
0,16068.232242813905,1732.7995914675357,2163.8690853468875
0,16077.600210362372,1926.854449702054,2380.36695670649
0,16095.093311042201,1923.0680032337605,2389.2603678353053
0,16049.73253413354,2402.494238609179,3052.925492349869
0,15860.370528073756,1773.0037668481982,2285.1898143538992
0,15883.492960869602,2114.532044200717,2704.2877952931694
0,16333.622359031986,2032.7317907273891,2606.0332430435265
0,15854.628529338375,1860.8579254785948,2365.6884986746004
0,15840.308840890153,1648.4468940279307,2096.5091408656617
0,15749.380024475258,1610.4177377553842,2035.1695601683482
0,15929.056961008522,1886.7889118481253,2333.114969828148
0,16163.451780484917,2296.01547189712,2847.262074587493
0,15844.663080660677,2143.75462438451,2809.577076334459
0,16030.932776873035,1852.9385263284544,2325.817865529867
0,15165.365787371917,941.3462959438161,1249.3172792006278
0,15407.726608285622,1171.5214372076016,1496.7805633916414
0,15456.006524713188,1299.3766400516047,1623.2291217052575
0,14816.976424583892,793.3262476109746,1046.8023362708832
0,15632.090625676956,1450.3896656268078,1853.1101740642218
0,15407.95165457551,1342.6609520824716,1758.4663825500104
0,14963.62363212294,993.3259118015144,1272.2495744804119
0,14690.063206895731,1033.793287052674,1316.9059950084916
0,14803.048108409086,1066.2488084765732,1421.7673128670829
0,15258.373373464829,1507.6980537106856,1961.8168004336394
0,15455.333346637346,1516.7238230013857,1867.1038980378894
0,14936.804873443929,993.2824944014404,1264.669039140676
0,15693.715182654956,1481.0921772108336,1825.1626366669425
0,15376.638323201254,1351.8402079173884,1753.7667505408217
0,16072.79248413854,1794.813611690206,2296.127312948139
0,15355.793680398581,1215.9601544764475,1555.3554052907793
0,15623.58004203255,1724.8904039419795,2207.3574711825077
0,16087.888558260927,1939.545760544243,2502.4963883163787
0,15127.324632423042,1199.9364103496919,1528.1469440344206
0,15801.586928009954,1563.5540207360953,1989.9881249907921
0,15935.486880101886,2380.3142358243313,3146.3339469921293
0,16296.84939034017,2138.4500533247797,2740.1298509322733
0,16114.868092059554,1595.1760883951938,2084.726847671844
0,15731.788078610043,1725.3091264346504,2176.4955681153815
0,15554.401569453255,1733.2161914019875,2332.039881036536
0,15812.44001974574,1691.869493389709,2182.9234798327566
0,16136.07924965301,2012.2079773883002,2669.8709235414144
0,16222.053513598768,2373.667038049008,3089.530583015302
0,15148.81367008697,1258.496251287374,1589.489465568634
0,15376.790848065024,1443.379100359151,1751.2294951318886
0,15797.051206526186,1956.8830190120834,2557.466618953206
0,14828.696805499238,847.4412465694921,1038.7578695579075
0,14923.502276409039,1097.9759506611779,1332.6272006453282
0,15118.02430693393,1348.8996296875212,1652.2302363128524
0,14624.609722681502,856.4345022627248,1056.5752377717213
0,14961.307373121366,955.0961829596897,1198.5547482199963
0,15544.521016293453,1517.69694594493,1886.1313452442384
0,15128.68134415557,1055.8043485511932,1338.719354708742
0,15386.413610571197,1300.5861030279277,1652.0189836179363
0,15580.2017120111,1454.6955555680772,1818.4679280368243
0,15492.764500851585,1206.0694861905808,1467.0802399166273
0,15386.866880517804,1400.1738708183793,1719.783803744384
0,15287.917161447665,1058.3148401665853,1341.7617565709095
0,15526.09507418631,1320.9820616805018,1656.0335797308646
0,15411.427890659661,1344.9441121769025,1650.2881968030213
0,14338.56975605212,814.5386484434541,998.3769680776988
0,14890.768640536826,946.339521555606,1187.5813107513666
0,15003.732918362944,1086.3507147196362,1372.6655678458953
0,15340.303268183397,1490.0454106947159,1876.0956519359354
0,15301.896867069067,1199.1213555353163,1520.4205685435436
0,15819.975158401958,2399.1758819586244,2943.2282714740527
0,15559.800988789853,1629.5086045076582,2010.9895132728789
0,15618.126868757496,1895.6627207929505,2390.3174809672123
0,14864.023468044319,1097.5509813719066,1364.5840188773122
0,15150.818153053819,1014.8496642317577,1352.8363501776007
0,15077.613918385174,1007.9496137171682,1277.8975295566734
0,15183.986569445067,1452.4257269531142,1840.9701758017827
0,15496.74459477168,1651.4510765899422,2057.5582948543324
0,16670.85383228381,1435.2982607718752,1831.7292470301084
0,14798.717914473535,1233.939447819378,1609.8707937476581
0,16462.274661459374,1580.964478629633,1946.2398849609833
0,15368.236626837512,1408.5405876555224,1793.3934026477632
0,15130.177637850538,1232.8423168433724,1548.0457072624745
0,15256.65632640436,1320.2624785359756,1610.497086043935
0,14734.573997818854,1125.4645946434732,1438.8582022840374
0,16102.443902146448,2138.563325814926,2723.5894614985164
0,15183.259162623432,1827.8064363232838,2318.6622813164163
0,16498.544065973107,3019.6926159249506,3912.2319775029027
0,15936.167156920106,2481.052304942884,3120.5175924965997
0,15337.003606274866,1231.7233952519023,1567.9576306535314
0,15371.793942252898,1315.615497540291,1622.7399789316537
