,One_BR,Two_BR,Three_BR,Four_BR
130176,24.9123642359013,29.286173224752183,42.584163855319936,52.76001607835239
130177,25.158744310672596,29.67157033027144,43.10274623622097,53.41468792982499
130178,25.399288195176645,30.044869093874812,43.60533045479654,54.05128299339074
130179,25.631215823064583,30.405070405087045,44.09026357786895,54.66536232821987
130180,25.85048430409332,30.747383517201307,44.55093094782401,55.24738591955231
130181,26.057776912653768,31.071505356618076,44.98705665246642,55.797992785295655
130182,26.256022247030035,31.38071261889128,45.40318912771185,56.323917383628704
130183,26.44932640030785,31.680529233569874,45.80686069865753,56.83536297259586
130184,26.698534264559754,32.04315002956306,46.29758150815725,57.475055519749084
130185,26.93418325243454,32.40410439279772,46.7841707100897,58.0954574008178
130186,27.16062765163047,32.754818771099394,47.256476650726874,58.69441236757035
130187,27.419372583211587,33.140823913659915,47.77780205360046,59.36646931830454
130188,27.658857284962444,33.512250310283406,48.2779809165697,60.000540166591016
130189,27.963406428148012,33.956661095434384,48.879259485914865,60.783381404779355
130190,28.44383391390104,34.62237258193833,49.783971221603636,61.989789647497155
130191,28.87289403761334,35.279467581128245,50.66998927789752,63.12028318967577
130192,29.277424153987994,35.909059938428854,51.517573936144586,64.19292648371209
130193,29.70641853742665,36.56078814115988,52.39650039905243,65.3168111595219
130194,30.103640521571382,37.18011130065268,53.23010953648959,66.37089776320589
130195,30.477506890008236,37.76516312363688,54.017298794569506,67.36440819880129
130196,30.831420311955515,38.31874537016739,54.7621492155182,68.30459840069807
130197,31.16467291844102,38.8406372095739,55.46429340860253,69.190414263096
130198,31.47794277641052,39.3316235106365,56.124814559977295,70.02341819781645
130199,31.771746476827094,39.792482830071286,56.74476433996053,70.80496387281782
130200,32.05803111631299,40.23732296642637,57.343596758053614,71.5630162014242
130201,32.32499846100101,40.65561030698037,57.90634577619473,72.27287598376212
130202,32.576431253201406,41.04955433029773,58.43633049378542,72.94135072011103
130203,32.812377269054906,41.41956794625393,58.93408430204965,73.56891844414218
130204,33.03494398067269,41.768228648490876,59.403149704439144,74.16058472760857
130205,33.24388600354728,42.095842487360635,59.8438710281636,74.71628425951818
130206,33.455522748561684,42.42152921895435,60.28263087955856,75.27407463527483
130207,33.651809327308705,42.728608062899916,60.695827537238756,75.79569273508044
130208,33.83604040132902,43.01739268191801,61.084329342456265,76.28563015238129
130209,34.01019374199523,43.29003020107521,61.45113833206592,76.74845212968984
130210,34.17381923587879,43.54648502576532,61.796145077479885,77.18354771690971
130211,34.330605559535975,43.79107835546373,62.12531073197371,77.59950915126008
130212,34.48625916646942,44.03144008093031,62.44904158152392,78.01046260115075
130213,34.635050664494464,44.262685550169884,62.760352926236116,78.40458437206864
130214,34.774294046507976,44.48068074350109,63.053656515385086,78.77469626363258
130215,34.924450365574636,44.708260455415164,63.360617613192154,79.16758365594224
130216,35.063493519300934,44.92488644604711,63.652213868641,79.53642998697383
130217,35.19391223473176,45.1291093300135,63.92698361781833,79.883120030812
130218,35.317672120087245,45.32260975857852,64.18734826307814,80.21182480774998
130219,35.4350821699598,45.50610613075346,64.43425989162851,80.52360476644301
130220,35.54557853561595,45.67912991779657,64.66704582725194,80.81730193848922
130221,35.64976371966784,45.84228728037586,64.88655425957393,81.09422929376606
130222,35.74805851097178,45.99619955952324,65.09362633934659,81.35548158175587
130223,35.840841261715326,46.141456831499454,65.28905659460132,81.60206421251361
130224,35.930377416081186,46.28084127238395,65.47666692641195,81.83936815146684
130225,36.01463862721695,46.41262912941812,65.65399257876625,82.0632183263028
130226,36.0942512357239,46.537196911951995,65.82159570221448,82.27474726645639
130227,36.16954387247832,46.65498931331638,65.98008370942338,82.4747821801655
130228,36.24270852581604,46.76866608358034,66.13311515375915,82.66851545162189
130229,36.31451460803473,46.87973382060758,66.28268985094253,82.85826048457156
130230,36.38198389581904,46.98510083491736,66.42448569161036,83.03739138760282
130231,36.44585843681793,47.084950474705416,66.5588421302371,83.20703402897712
130232,36.50641798506989,47.17960758209402,66.68621144262703,83.3678587616637
130233,36.7226365735479,47.454381320291745,67.062453057464,83.88997618223979
130234,36.90279220987535,47.727955376572226,67.4317079700672,84.36338252885025
130235,37.158598014058505,48.091872762979534,67.92517883727653,85.01348158623854
130236,37.383294171277576,48.44003815689345,68.39416851555663,85.6086276517562
130237,37.59275309951204,48.76808658267283,68.83556238556578,86.16559621193328
130238,37.789441987734335,49.07646953459386,69.25042294553988,86.68871772438423
130239,38.06612660656387,49.473308307363105,69.78806998416243,87.39409966765648
130240,38.32280271457013,49.86664524845512,70.31832303616996,88.07015313833931
130241,38.57921130083742,50.260090684536536,70.84855890470463,88.74533460151883
130242,38.820213215195636,50.63556544213244,71.35396379740838,89.38455903946651
130243,39.049379148154266,50.99315899021498,71.83521127528518,89.9926994296723
130244,39.26869532273595,51.33496847081383,72.2952518492403,90.57432871439924
130245,39.47865458718089,51.662046692235215,72.73548195432545,91.1310280764895
130246,39.675058053957805,51.96977162677082,73.1494821795421,91.65324397633019
130247,39.87583784043351,52.278002983597446,73.56480750216309,92.18181524520064
130248,40.06179357226046,52.56881389283738,73.95612952266218,92.67591274649827
130249,40.23633703970159,52.84238187284255,74.32416475251027,93.14006648473672
130250,40.40046455295446,53.099663214906215,74.67027880509329,93.57652516501035
130251,40.55964895618096,53.34725142396162,75.00355163309061,93.99823245673235
130252,40.72296368610789,53.59723070824317,75.34047025501523,94.42760694687661
130253,40.87887847524015,53.83900036681142,75.66601782860383,94.84020419660511
130254,41.02452158484879,54.066973328056925,75.9727548625555,95.22731271321531
130255,41.1615141036645,54.28162394458457,76.26153176430054,95.59154761734827
130256,41.290509866287785,54.483743187482375,76.53344693031674,95.93450739512717
130257,41.41202924566108,54.674124572191445,76.789572901522,96.25756922430756
130258,41.61166797650475,54.9526944543873,77.16785864864534,96.76013384562906
130259,41.78492553434919,55.22038749083858,77.52854816095079,97.21851404608196
130260,41.947302329020836,55.47414398078934,77.87004489440261,97.64986218725693
130261,42.10072404750422,55.71415614861892,78.19298631218504,98.05748624391282
130262,42.244919235444385,55.940094294876175,78.49694782546601,98.44087129469455
130263,42.3816037851822,56.15389698049552,78.78461828829883,98.80397310591933
130264,42.691867737826506,56.56700465930334,79.34789129155159,99.56869501913127
130265,42.95328690647796,56.96828185991416,79.88895362305621,100.25868936349812
130266,43.195329945401724,57.34703067407423,80.39864012534838,100.9022028719155
130267,43.44147982648664,57.725292322757596,80.90830198949992,101.55057810879443
130268,43.673230706234385,58.08632941360996,81.39426491102091,102.16520273500761
130269,43.88994185554323,58.42592214047227,81.85113778285674,102.7414703710169
130270,44.10207374945154,58.755077688543516,82.29429072239834,103.30280905436072
130271,44.3028177060196,59.068301261905276,82.71582749802458,103.83552021732689
130272,44.49181245375113,59.364077188058154,83.11378556076019,104.3377468921226
130273,44.67213518825887,59.645572602458785,83.49259710185832,104.81631828809344
130274,44.84119101959977,59.91046076685542,83.8489615140189,105.26581110164254
130275,45.00684954698883,60.16742686717842,84.19493073146317,105.70410546184883
130276,45.165376151407685,60.41405959225228,84.52692380873603,106.12419400075399
130277,45.34915632678703,60.687665046188734,84.89649678029241,106.60103039599628
130278,45.51685200961995,60.948513594046574,85.2476896049106,107.04567197759586
130279,45.675704361131785,61.196533128960844,85.58146603502101,107.46737152936277
130280,45.82572881336832,61.43118123118279,85.89719288857016,107.86592373731497
