Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-06-30,92119,254366,334692,608680,694497
2020-06-30,92120,252995,413093,649319,758971
2020-06-30,92122,371067,534110,816700,973909
2020-06-30,92124,345181,490444,650351,802673
2020-06-30,92126,282090,408539,625323,682068
2020-06-30,92127,319805,448746,743786,1000669
2020-06-30,92128,308747,492082,695237,845607
2020-06-30,92130,433592,625748,891402,1261506
2020-06-30,92131,296048,490846,721120,935363
2020-06-30,92211,211339,299324,412768,538817
2020-06-30,92220,172885,253923,266160,315359
2020-06-30,92234,144848,224996,324229,379908
2020-06-30,92260,237088,297417,409432,651962
2020-06-30,92262,148452,329459,565074,698510
2020-06-30,92264,172920,294410,572894,1061622
2020-06-30,92270,189560,320296,521684,861326
2020-06-30,92277,113210,120193,156984,196600
2020-06-30,92284,162399,177006,231953,301928
2020-06-30,92308,164251,223190,231651,339059
2020-06-30,92314,175939,212626,326530,437735
2020-06-30,92315,223925,278887,404127,586030
2020-06-30,92320,244395,286013,350337,407845
2020-06-30,92325,159747,201410,271131,314655
2020-06-30,92341,162005,190978,274369,325593
2020-06-30,92352,220585,291442,403037,534437
2020-06-30,92373,217633,372901,469003,583044
2020-06-30,92374,261942,287478,366069,426902
2020-06-30,92386,152129,185387,244414,295086
2020-06-30,92391,181314,211650,270662,323192
2020-06-30,92399,264090,293550,364260,457909
2020-06-30,92407,154939,247616,330917,392882
2020-06-30,92503,320693,332724,389511,449463
2020-06-30,92504,325091,341400,376864,447519
2020-06-30,92592,308186,349252,431458,512702
2020-06-30,92596,302772,269231,410167,450036
2020-06-30,92603,476118,706289,1024149,1612299
2020-06-30,92604,553531,616018,789357,973366
2020-06-30,92606,443153,592222,785401,964249
2020-06-30,92610,356224,461071,745532,846886
2020-06-30,92612,422802,678086,858187,1029925
2020-06-30,92614,424827,573329,797878,1089557
2020-06-30,92618,412237,604962,860149,1222326
2020-06-30,92620,364043,623030,871376,1152415
2020-06-30,92626,484370,518815,794893,884181
2020-06-30,92627,826853,687083,860096,1116443
2020-06-30,92646,404792,549825,821675,993518
2020-06-30,92648,491837,761591,1057145,1468720
2020-06-30,92651,1406503,1711622,2434099,3390674
2020-06-30,92655,624835,565868,657020,706534
2020-06-30,92672,555845,792205,1058414,1300052
2020-06-30,92677,364244,531895,810730,1096230
2020-06-30,92683,592184,508181,671095,755952
2020-06-30,92688,311909,450343,671381,807347
2020-06-30,92692,387796,561465,724025,862633
2020-06-30,92805,393294,507833,573902,626360
2020-06-30,92806,550427,399476,628688,680459
2020-06-30,92808,394017,489446,730464,867159
2020-06-30,92833,348158,513607,603730,803934
2020-06-30,92841,441383,562332,636390,664973
2020-06-30,92843,295300,438476,610549,656840
2020-06-30,92867,610926,613805,698463,812753
2020-06-30,92870,357134,434452,668990,756942
2020-06-30,92886,275238,464636,727994,894133
2020-06-30,93001,493682,552234,699296,1047604
2020-06-30,93003,369607,400792,590486,676553
2020-06-30,93010,316812,413183,583182,681791
2020-06-30,93012,352180,440103,570097,777883
2020-06-30,93021,381521,414654,565416,728836
2020-06-30,93022,494566,489983,577161,702656
2020-06-30,93023,495744,541084,688698,938245
2020-06-30,93035,459547,598331,652781,624922
2020-06-30,93036,311675,394944,506203,573047
2020-06-30,93063,361943,389313,551246,638029
2020-06-30,93065,310384,438698,543885,632768
2020-06-30,93101,752521,826243,975477,1302045
2020-06-30,93105,633856,926896,1201147,1465168
2020-06-30,93110,495087,671902,1055907,1411263
2020-06-30,93111,534162,622794,903746,1025083
2020-06-30,93117,451058,577666,827640,918925
2020-06-30,93222,186947,234052,290815,346909
2020-06-30,93277,140574,167826,232248,302301
2020-06-30,93291,135779,152483,243291,340193
2020-06-30,93292,134409,158964,237852,303612
2020-06-30,93309,110224,162312,219537,279067
2020-06-30,93402,487528,526410,621536,836634
2020-06-30,93405,479649,589970,747503,872248
2020-06-30,93420,440145,473110,688544,893223
2020-06-30,93422,364740,407821,547439,683654
2020-06-30,93433,365843,416997,563846,689404
2020-06-30,93442,537792,591469,722839,939168
2020-06-30,93446,402826,369242,497161,624970
2020-06-30,93449,650814,674256,950030,1136109
2020-06-30,93454,218795,289292,373612,418518
2020-06-30,93463,509021,557466,799495,941084
2020-06-30,93536,219127,230183,326236,380380
2020-06-30,93551,259807,277503,359073,408221
2020-06-30,93561,173842,206751,279695,356007
2020-06-30,93612,158031,177080,242964,305395
2020-06-30,93618,139995,161400,224448,268974
2020-06-30,93704,149505,186856,267970,329698
2020-06-30,93923,1002037,1135733,1594511,2126227
2020-06-30,93940,451466,684743,826719,1112982
2020-06-30,93950,744341,836328,971465,1242813
2020-06-30,94005,840648,902100,1064268,1594769
2020-06-30,94010,863881,1504924,2319419,3385258
2020-06-30,94014,693410,938741,975039,1189423
2020-06-30,94019,855697,892915,1259775,1406562
2020-06-30,94022,1149159,2048160,3165536,3803688
2020-06-30,94024,2820330,2587008,2807311,3101593
2020-06-30,94025,1075051,1665789,2191010,3555388
2020-06-30,94037,956340,985359,1174201,1307698
2020-06-30,94038,969309,987133,1173137,1352428
2020-06-30,94040,690113,1087247,2150288,2620096
2020-06-30,94041,1442778,1654515,1840970,2383052
2020-06-30,94043,621125,1112104,1518578,1783549
2020-06-30,94044,823178,864106,1075374,1261703
2020-06-30,94061,955766,1215327,1607129,2018564
2020-06-30,94062,1328183,1494394,1921661,2665320
2020-06-30,94063,1016916,1098327,1256747,1463091
2020-06-30,94065,773390,1183852,1580901,2068675
2020-06-30,94066,531119,865210,1211275,1386231
2020-06-30,94070,793438,1412130,1846292,2299169
2020-06-30,94080,640626,886449,1063002,1272123
2020-06-30,94085,660328,986282,1238889,1395782
2020-06-30,94086,659286,1137267,1511531,1778541
2020-06-30,94107,970134,1402778,1728587,2546943
2020-06-30,94109,871870,1441425,2133475,4302411
2020-06-30,94110,1089747,1448873,1742236,2075442
2020-06-30,94112,983485,1077121,1215506,1310723
2020-06-30,94114,1071571,1652613,2238266,3108366
2020-06-30,94115,977997,1407245,2025859,4126209
2020-06-30,94116,1233048,1342915,1495927,1796567
2020-06-30,94117,933732,1488275,1880481,3004800
2020-06-30,94118,943077,1442353,2172989,2935516
2020-06-30,94121,962417,1380816,1691388,2201648
2020-06-30,94122,1203579,1393841,1547830,1691462
2020-06-30,94123,1086850,1771666,3127251,4975510
2020-06-30,94124,636571,913438,1029286,1154909
2020-06-30,94127,1445756,1477730,1761008,2201407
2020-06-30,94131,740485,1487952,1819824,2321549
2020-06-30,94132,715023,1076900,1429770,1704169
2020-06-30,94133,924519,1437444,2646461,4469631
2020-06-30,94134,751859,928732,1096284,1255336
2020-06-30,94301,1979116,2543940,3330723,4414814
2020-06-30,94306,1292718,2093928,2564658,2998435
2020-06-30,94401,640231,1048135,1204939,1452744
2020-06-30,94402,780592,1367766,1902973,2237669
2020-06-30,94403,681992,1277905,1573834,1888977
2020-06-30,94404,793356,1122498,1482985,1871706
2020-06-30,94501,475115,867127,1121839,1269142
2020-06-30,94515,910523,769048,956915,1770267
2020-06-30,94536,429629,634813,995613,1202137
2020-06-30,94541,485750,561434,662477,788980
2020-06-30,94546,467838,617938,805115,928897
2020-06-30,94552,760040,700870,920329,1069987
2020-06-30,94558,481272,561888,670782,809963
2020-06-30,94559,584560,615913,665432,869429
2020-06-30,94577,417745,604599,684870,808617
2020-06-30,94578,369721,579250,666677,768697
2020-06-30,94579,648355,586571,671092,781582
2020-06-30,94580,560249,577968,652761,712766
2020-06-30,94586,692449,752236,1251577,1637833
2020-06-30,94602,654577,865551,1114383,1277694
2020-06-30,94608,546020,808028,899911,1011879
2020-06-30,94609,635688,1036893,1153806,1246800
2020-06-30,94610,516495,835780,1537834,1863307
2020-06-30,94611,536915,1049143,1314646,1692301
2020-06-30,94612,626271,871150,852012,846427
2020-06-30,94702,821977,982057,1101631,1253611
2020-06-30,94703,726957,1071035,1281767,1395320
2020-06-30,94705,740540,1205729,1631414,1994027
2020-06-30,94707,906693,1243031,1472920,1817449
2020-06-30,94708,934870,1203496,1403634,1679220
2020-06-30,94710,851756,920695,1088707,1212763
2020-06-30,94901,676097,812906,1096218,1477900
2020-06-30,94903,402028,612194,953296,1179991
2020-06-30,94904,618301,824904,1639427,2173010
2020-06-30,94925,994695,1046373,1383723,1707506
2020-06-30,94930,751998,817522,993450,1198661
2020-06-30,94931,329807,399715,599752,674807
2020-06-30,94941,765470,1159230,1505965,2018198
2020-06-30,94945,364845,639800,794943,980494
2020-06-30,94947,508580,512448,760681,984644
2020-06-30,94951,800549,837438,998811,1202254
2020-06-30,94952,629543,710692,840356,1039945
2020-06-30,94960,828943,894475,1178058,1485470
2020-06-30,94965,699443,1124466,1602859,2363129
2020-06-30,95003,619538,769734,988084,1260601
2020-06-30,95005,538010,649642,787206,929090
2020-06-30,95008,565379,869512,1282080,1467480
2020-06-30,95010,634236,686246,1034386,1183422
2020-06-30,95014,863920,1222291,1864968,2356175
2020-06-30,95018,495072,631172,786254,940849
2020-06-30,95020,460758,584099,693446,804599
2020-06-30,95032,667245,1130140,1538852,2128072
2020-06-30,95037,453818,652601,785700,1009790
2020-06-30,95051,518501,788476,1301313,1555220
2020-06-30,95054,704387,871064,1215886,1330470
2020-06-30,95060,648318,818304,1066459,1358131
2020-06-30,95062,788238,849187,966874,1196784
2020-06-30,95065,787182,799732,922419,1154754
2020-06-30,95066,519969,640351,936666,1200645
2020-06-30,95070,922587,1398548,2153309,2676151
2020-06-30,95073,767473,820844,932289,1212710
2020-06-30,95076,525375,503057,623650,692407
2020-06-30,95110,610829,771218,873945,919861
2020-06-30,95112,678258,769020,872836,995431
2020-06-30,95117,631514,817601,1234789,1455780
2020-06-30,95118,498513,607434,1067028,1176849
2020-06-30,95123,481086,535487,919094,952887
2020-06-30,95124,578521,802774,1213234,1326009
2020-06-30,95125,736266,1025198,1294455,1527177
2020-06-30,95126,715055,898048,1143230,1498446
2020-06-30,95127,393719,648250,723874,918945
2020-06-30,95128,707608,920896,1123278,1346929
2020-06-30,95131,531852,753888,1023801,1119767
2020-06-30,95136,552996,670217,893239,992804
2020-06-30,95148,627712,669039,890418,1056530
2020-06-30,95401,277531,451095,533418,580104
2020-06-30,95404,470174,522183,653245,866284
2020-06-30,95405,350125,482927,609092,751587
2020-06-30,95407,505836,454803,521492,582976
2020-06-30,95409,374505,585277,698305,832854
2020-06-30,95421,464221,513917,651860,819974
2020-06-30,95425,472489,530885,550234,636550
2020-06-30,95436,389619,490916,689908,902018
2020-06-30,95439,602519,676996,806578,993196
2020-06-30,95442,815846,727244,1062026,1644600
2020-06-30,95446,384056,427867,530700,630215
2020-06-30,95448,655343,683252,884720,1202176
2020-06-30,95452,609266,688399,1098035,1781879
2020-06-30,95472,734304,761188,886658,1046848
2020-06-30,95476,557371,623766,880461,1354407
2020-06-30,95497,571130,808010,1035924,1242758
2020-06-30,95603,332560,378810,471879,609330
2020-06-30,95610,297913,293871,366518,405123
2020-06-30,95616,415737,490641,650334,820231
2020-06-30,95618,437144,410038,600123,822343
2020-06-30,95619,285415,284520,351407,429762
2020-06-30,95628,184747,307975,414174,563047
2020-06-30,95630,234657,380808,509627,626353
2020-06-30,95648,373050,527174,437678,499473
2020-06-30,95650,477603,409892,554756,806771
2020-06-30,95658,449340,527919,664049,792471
2020-06-30,95663,462602,499287,648896,761775
2020-06-30,95664,411494,427571,521424,703939
2020-06-30,95672,476630,442844,520610,692502
2020-06-30,95678,255678,312611,399007,499126
2020-06-30,95682,327175,335499,478865,593676
2020-06-30,95695,300477,323235,377450,454636
2020-06-30,95703,307471,374787,480970,593213
2020-06-30,95709,268082,301468,410761,544216
2020-06-30,95722,309155,391398,518068,668253
2020-06-30,95726,228200,274104,339655,421880
2020-06-30,95818,437269,516814,659895,850525
2020-06-30,95819,493872,544600,600717,820526
2020-06-30,95821,158435,298829,374384,436108
2020-06-30,95822,283804,311711,309834,370756
2020-06-30,95825,159904,283456,370250,405359
2020-06-30,96150,333250,352118,459341,648339
2020-06-30,96161,356285,463520,633296,1045447
2020-07-31,90004,650642,947968,1244882,2060176
2020-07-31,90007,549636,636879,719881,809664
2020-07-31,90012,505954,636403,748884,831773
2020-07-31,90016,511506,723796,846448,927713
2020-07-31,90018,578678,724880,778530,839248
2020-07-31,90019,795828,1025177,1131520,1309435
2020-07-31,90020,390683,598027,830197,2867903
2020-07-31,90022,421510,451166,495286,537119
2020-07-31,90023,423861,442796,468078,502491
2020-07-31,90024,645705,988249,2341682,3151095
2020-07-31,90025,610619,911164,1247986,2074527
2020-07-31,90026,768528,901382,1031056,1205121
2020-07-31,90027,606266,999355,1460078,2246019
2020-07-31,90028,739834,835926,1251542,1509736
2020-07-31,90029,759707,953272,1070532,1177565
2020-07-31,90031,547512,621637,705143,739137
2020-07-31,90032,505809,592873,656701,719405
2020-07-31,90033,473345,488864,529225,577075
2020-07-31,90034,565105,1107162,1398150,1833251
2020-07-31,90038,793325,830863,1202400,1619322
2020-07-31,90039,762678,927630,1084267,1220735
2020-07-31,90040,387753,427367,480309,538466
2020-07-31,90041,688360,789183,925044,1093799
2020-07-31,90042,623759,717703,845968,977496
2020-07-31,90043,469560,620803,729875,868721
2020-07-31,90044,418675,442743,477729,523948
2020-07-31,90045,433462,950573,1201577,1426741
2020-07-31,90046,600679,1024533,1740910,2578058
2020-07-31,90048,594668,1211997,1977418,2348972
2020-07-31,90049,646962,1111525,2454478,3239884
2020-07-31,90056,632237,738890,1204871,1404699
2020-07-31,90057,376495,600028,874234,972201
2020-07-31,90061,383886,399400,440391,483860
2020-07-31,90062,542409,577757,617691,641919
2020-07-31,90063,407183,452326,530199,565855
2020-07-31,90064,753655,1233886,1610600,2143046
2020-07-31,90065,674560,745885,886093,1003886
2020-07-31,90066,571850,1301254,1507944,1804987
2020-07-31,90068,682010,994434,1530013,2127666
2020-07-31,90069,641608,939250,2475614,3968022
2020-07-31,90077,992091,1221235,1851163,2562711
2020-07-31,90201,394727,420218,476944,527700
2020-07-31,90211,841610,1085411,2244986,2476729
2020-07-31,90212,847216,1383931,2562456,3305070
2020-07-31,90230,466242,679167,1225607,1471934
2020-07-31,90232,1068239,1384088,1516359,1693312
2020-07-31,90240,457441,494360,606573,712411
2020-07-31,90242,372216,479754,550931,610666
2020-07-31,90245,825253,948691,1303825,1620502
2020-07-31,90247,366487,471726,560092,622726
2020-07-31,90250,552317,612969,657839,744463
2020-07-31,90254,977531,1240171,1613584,2382581
2020-07-31,90255,362102,413028,470282,502826
2020-07-31,90260,370063,545879,662427,702318
2020-07-31,90265,1160536,1461656,2859438,3742905
2020-07-31,90266,2193777,2015375,2193915,2612720
2020-07-31,90270,376419,403679,465437,529859
2020-07-31,90272,804936,1785690,2763105,3418141
2020-07-31,90275,443928,778499,1192460,1426196
2020-07-31,90277,686922,954584,1300480,1609805
2020-07-31,90278,457160,794165,984682,1194553
2020-07-31,90291,1695377,1807394,2095120,2618164
2020-07-31,90292,883258,1100567,1601563,2980786
2020-07-31,90304,490415,519768,568087,642537
2020-07-31,90305,520399,556682,633482,727369
2020-07-31,90401,798486,1366621,2213976,3182779
2020-07-31,90402,1008845,2359641,3517685,4299957
2020-07-31,90403,729820,1251918,1882561,3050099
2020-07-31,90404,627068,1066290,1234651,1686684
2020-07-31,90405,684584,1465085,2046470,2351150
2020-07-31,90501,402766,615763,709183,844682
2020-07-31,90502,301408,390159,570434,634942
2020-07-31,90503,466278,635309,882210,1043127
2020-07-31,90505,458796,583988,927681,1124253
2020-07-31,90601,335690,464497,583179,684283
2020-07-31,90605,462411,476396,520537,585500
2020-07-31,90606,442592,460225,502681,539489
2020-07-31,90620,568376,541317,599877,634473
2020-07-31,90621,482752,505506,593354,736922
2020-07-31,90630,401401,482695,649868,772094
2020-07-31,90638,315554,431599,585964,628544
2020-07-31,90660,411663,452341,498529,549398
2020-07-31,90701,362599,438395,582666,693669
2020-07-31,90706,431366,472622,538381,612963
2020-07-31,90710,379392,429680,592305,683035
2020-07-31,90715,353480,417888,548698,638917
2020-07-31,90717,507317,578929,684034,837888
2020-07-31,90723,291061,384359,483520,541439
2020-07-31,90731,486134,540840,659084,719911
2020-07-31,90732,339177,521222,787457,867621
2020-07-31,90744,365060,421589,482842,535300
2020-07-31,90755,339155,450437,642222,912750
2020-07-31,90802,337153,486724,791932,761808
2020-07-31,90803,445455,820815,1153716,1355632
2020-07-31,90804,333929,467820,634242,817200
2020-07-31,90805,357615,446040,497755,541634
2020-07-31,90806,369160,522232,566548,624752
2020-07-31,90808,451203,599866,688241,767454
2020-07-31,90814,359215,604729,980242,1146527
2020-07-31,91001,632523,724758,863429,1197357
2020-07-31,91006,745739,657251,860624,1229457
2020-07-31,91007,557889,643483,935431,1313852
2020-07-31,91010,462428,465977,540315,660362
2020-07-31,91011,718697,997737,1297659,1842405
2020-07-31,91016,590380,647813,732629,857521
2020-07-31,91020,606052,704007,760032,1034548
2020-07-31,91024,595292,741964,1036258,1367231
2020-07-31,91030,579566,764019,1120494,1533332
2020-07-31,91040,492583,553461,640168,797549
2020-07-31,91042,473996,544835,695815,832195
2020-07-31,91101,479064,626139,761443,1081171
2020-07-31,91103,608083,666703,794378,1183891
2020-07-31,91104,606249,734593,878834,1061171
2020-07-31,91105,612572,862629,1239183,1982792
2020-07-31,91106,438660,618231,924920,1978152
2020-07-31,91107,468528,722868,933961,1306336
2020-07-31,91201,638929,755774,935344,1137000
2020-07-31,91202,409498,635950,962971,1353038
2020-07-31,91204,477056,580541,727107,863360
2020-07-31,91205,409490,689330,774060,977938
2020-07-31,91206,411861,568269,999960,1358638
2020-07-31,91207,401508,783406,1074134,1406724
2020-07-31,91214,503349,708106,877426,1113682
