Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-05-31,94040,709376,1131183,2213042,2705097
2020-05-31,94041,1492904,1743084,1928965,2465235
2020-05-31,94043,680057,1145514,1561156,1812723
2020-05-31,94044,831003,863507,1071482,1264037
2020-05-31,94061,917585,1224230,1583564,2024569
2020-05-31,94062,1368576,1489264,1929500,2689130
2020-05-31,94063,914740,1104784,1248654,1447409
2020-05-31,94065,771165,1167926,1590180,2081934
2020-05-31,94066,532541,879551,1207889,1382371
2020-05-31,94070,800968,1404998,1852693,2314847
2020-05-31,94080,644380,896992,1094726,1262911
2020-05-31,94085,699569,1008816,1267220,1449621
2020-05-31,94086,661379,1151896,1555414,1838060
2020-05-31,94107,982175,1394298,1770836,2646142
2020-05-31,94109,892622,1449715,2115065,4249476
2020-05-31,94110,1106102,1481705,1796738,2168093
2020-05-31,94112,1020232,1111345,1238017,1324092
2020-05-31,94114,1092186,1678904,2377919,3427067
2020-05-31,94115,1002359,1434857,2065478,4210752
2020-05-31,94116,1281579,1370980,1495779,1795681
2020-05-31,94117,946349,1505821,1934173,3163218
2020-05-31,94118,1015244,1462696,2222224,3006145
2020-05-31,94121,976023,1434415,1701638,2173887
2020-05-31,94122,1242110,1424085,1542666,1740087
2020-05-31,94123,1117548,1791467,3145437,5011288
2020-05-31,94124,668457,949488,1048139,1205769
2020-05-31,94127,1496349,1511887,1800441,2359021
2020-05-31,94131,738010,1544220,1896897,2439863
2020-05-31,94132,727175,1154330,1451717,1759977
2020-05-31,94133,957147,1457248,2638761,4553599
2020-05-31,94134,776140,963917,1106383,1253266
2020-05-31,94301,1875326,2488719,3347996,4452318
2020-05-31,94306,1284835,2129198,2668516,3103098
2020-05-31,94401,629478,1031871,1183340,1432815
2020-05-31,94402,765636,1348038,1916973,2250535
2020-05-31,94403,678624,1261322,1563255,1874747
2020-05-31,94404,724394,1093956,1466695,1879184
2020-05-31,94501,484332,859763,1138855,1291111
2020-05-31,94515,945641,767015,926872,1747852
2020-05-31,94536,423813,611604,982424,1190033
2020-05-31,94541,471359,577910,669755,800606
2020-05-31,94546,452453,623811,820419,941920
2020-05-31,94552,700228,695860,928730,1085749
2020-05-31,94558,488978,567019,673676,803417
2020-05-31,94559,620458,632735,664671,873460
2020-05-31,94577,422108,611419,695564,826361
2020-05-31,94578,376855,595472,678368,782903
2020-05-31,94579,641779,595408,693424,805055
2020-05-31,94580,544706,587589,671866,731122
2020-05-31,94586,684555,754614,1205541,1588685
2020-05-31,94602,653475,840912,1131601,1326910
2020-05-31,94608,552173,834507,921962,1044873
2020-05-31,94609,633182,1056304,1230639,1351806
2020-05-31,94610,516732,848185,1543305,1908550
2020-05-31,94611,543177,1050833,1321557,1706815
2020-05-31,94612,624393,875973,880226,878134
2020-05-31,94702,836859,994691,1124047,1329233
2020-05-31,94703,747831,1070741,1332329,1489898
2020-05-31,94705,765731,1222923,1678916,2031780
2020-05-31,94707,902542,1261777,1526362,1845350
2020-05-31,94708,913217,1195300,1444406,1717717
2020-05-31,94710,869834,952547,1121707,1249534
2020-05-31,94901,713073,836171,1117059,1484902
2020-05-31,94903,412888,616641,1008519,1214653
2020-05-31,94904,653030,865985,1721058,2298394
2020-05-31,94925,1075162,1096326,1415676,1727207
2020-05-31,94930,792543,842625,1015594,1196758
2020-05-31,94931,341304,406402,607961,681872
2020-05-31,94941,779099,1238743,1554536,2073173
2020-05-31,94945,371565,639144,794124,970380
2020-05-31,94947,501521,507930,766484,982570
2020-05-31,94951,886497,855546,974383,1191112
2020-05-31,94952,629298,718108,841669,1045268
2020-05-31,94960,866488,934985,1234914,1581698
2020-05-31,94965,700859,1179217,1664508,2413943
2020-05-31,95003,597674,771677,988741,1262941
2020-05-31,95005,529673,660072,777917,898911
2020-05-31,95008,563429,880426,1301801,1488771
2020-05-31,95010,622944,681247,1001257,1178814
2020-05-31,95014,855943,1211067,1913877,2414783
2020-05-31,95018,520496,650825,796279,919242
2020-05-31,95020,460694,592102,708852,820509
2020-05-31,95032,735190,1158763,1577107,2137660
2020-05-31,95037,470755,654560,818221,1044257
2020-05-31,95051,498952,769225,1358651,1584391
2020-05-31,95054,741235,895183,1230970,1325820
2020-05-31,95060,650552,824492,1067755,1370658
2020-05-31,95062,795543,853210,974171,1180658
2020-05-31,95065,787351,805291,920233,1147198
2020-05-31,95066,529328,648773,935527,1217988
2020-05-31,95070,949105,1390468,2206707,2771152
2020-05-31,95073,774300,819547,926187,1209212
2020-05-31,95076,522025,515831,634167,702761
2020-05-31,95110,606258,794770,893369,944745
2020-05-31,95112,681435,794210,902825,1045282
2020-05-31,95117,634408,844149,1276349,1473411
2020-05-31,95118,509122,603569,1091687,1213115
2020-05-31,95123,482300,541749,936437,983316
2020-05-31,95124,585800,820198,1237171,1388779
2020-05-31,95125,738488,1020890,1316608,1544207
2020-05-31,95126,732533,914697,1161073,1530508
2020-05-31,95127,407488,675320,772002,950798
2020-05-31,95128,686551,923129,1182097,1385800
2020-05-31,95131,490016,763438,1043685,1160656
2020-05-31,95136,578782,688708,906184,1033389
2020-05-31,95148,658680,687619,901232,1087003
2020-05-31,95401,285795,469298,547115,590898
2020-05-31,95404,483060,530679,662948,868462
2020-05-31,95405,336139,496311,621148,763590
2020-05-31,95407,524219,461593,534456,594220
2020-05-31,95409,368263,573056,698600,835770
2020-05-31,95421,458234,501978,610183,783273
2020-05-31,95425,485712,535129,556938,660441
2020-05-31,95436,401051,502099,699880,906157
