model,MSE,MAE,AIC,pred
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,7.889102357330216
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,7.83276270896306
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,8.137786509971761
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,8.286804208229114
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,8.792665478065373
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,9.113918472366095
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,9.764534000359504
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,10.186573425100619
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,10.892017482790266
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,11.310041172602837
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,11.95744816947365
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,69.3576028438365
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,100.00268140571302
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,116.35559885663179
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,132.58240566210793
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,149.75524235785645
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,149.55807501578784
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,119.35219230333996
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,106.4340507842901
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,98.4527676320746
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,102.86732237549336
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,106.03889384443175
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,78.33612883143269
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,20.79035540227983
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,6.674696371423465
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,5.707393186691206
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,5.099506001195664
