model,p,d,q,P,D,Q,MSE,MAE,AIC,ForeMSE,ForeMAE
SARIMAX,0,0,2,1,1,1,72809.18571110911,202.6418864640088,7913.883725538799,24401.23890212562,121.10399770835662
SARIMAX,0,0,3,0,0,0,66237.2280986714,192.99625263936,8034.065695242656,22721.094812798176,117.20326358722332
SARIMAX,0,0,3,0,0,1,66291.27995841466,193.23454070024866,7945.478901983997,22549.69101550765,117.00223763135122
SARIMAX,0,0,3,0,1,0,147232.57574596375,315.40918241538805,8337.2968873705,114165.66545352635,273.8973254768132
SARIMAX,0,0,3,0,1,1,73930.78623877597,204.06656972678266,7888.3896616236925,24501.195025369005,121.53302248668042
SARIMAX,0,0,3,1,0,0,66304.83285764264,193.22361128312755,7996.904597514636,22557.723461623926,117.00898230792056
SARIMAX,0,0,3,1,0,1,66285.31941441007,193.2214598732402,7947.471386858342,22549.704731895945,117.00214804330137
SARIMAX,0,0,3,1,1,0,133405.7193709165,307.3273180217894,8143.692330348531,106833.28282549183,280.1224248813539
SARIMAX,0,0,3,1,1,1,74248.71942311057,204.73209008743754,7889.9247072374,24744.444018851944,122.19286337735777
SARIMAX,0,0,4,0,0,0,66324.7410262051,193.27738489053237,8017.744885519822,22549.691981627286,117.00224067094555
SARIMAX,0,0,4,0,0,1,66297.8215333731,193.20266697900132,7930.5336161662435,22549.69135988098,117.00223805947778
SARIMAX,0,0,4,0,1,0,120692.36495773087,282.15535092423085,8298.452378141123,84355.97672075496,232.1152122676831
SARIMAX,0,0,4,0,1,1,75122.85040741986,205.5718204812153,7872.071180262689,24781.532069843503,122.32982786935297
SARIMAX,0,0,4,1,0,0,66293.59689974514,193.18982144079908,7994.519215328015,22549.692696070353,117.00224147408356
SARIMAX,0,0,4,1,0,1,66282.54843170742,193.16928587921038,7932.504693206577,22549.714107480526,117.00216850798917
SARIMAX,0,0,4,1,1,0,133950.13748637296,306.6079525196736,8135.886403047663,105854.20313020349,277.7710770299878
SARIMAX,0,0,4,1,1,1,75991.91982632675,207.81090825261995,7876.046132951009,25233.440669893535,123.1150893914625
SARIMAX,0,1,0,0,0,0,127308.51198660754,283.7430577195914,8263.580728932593,61473.9129500383,200.14590971586415
SARIMAX,0,1,0,0,0,1,79474.97908459052,229.70862170883908,8189.067644377275,40469.279604929696,160.0025721821651
SARIMAX,0,1,0,0,1,0,1600448.6691650134,1132.244044685451,8568.82733040371,35791406.11000027,5627.7952787836975
SARIMAX,0,1,0,0,1,1,98056.02175468957,258.56587392487194,8120.700291695255,154832.31874771955,351.11829776611955
SARIMAX,0,1,0,1,0,0,80328.81432888246,231.5321371324678,8204.101490130404,41768.82662255242,162.3899989840853
SARIMAX,0,1,0,1,0,1,92178.12095094942,250.90218181872063,8219.623174306738,119083.12419352555,302.76335731998023
SARIMAX,0,1,0,1,1,0,227833.0560030222,405.62481258158095,8326.568431213302,827293.2023765175,857.0764670509939
SARIMAX,0,1,0,1,1,1,97113.21939099056,257.20250455274686,8122.004334721628,150304.40696451973,344.99411314490175
SARIMAX,0,1,1,0,0,0,106198.49982815902,271.1192828624974,8100.747981491293,75994.59328287028,235.16658847140286
SARIMAX,0,1,1,0,0,1,104611.59669437795,269.4778337682126,8010.487904815782,75960.4973893963,234.7956884684599
SARIMAX,0,1,1,0,1,0,414679.72465683817,564.7380592029563,8430.647439062992,10854210.391148664,3079.495821614251
SARIMAX,0,1,1,0,1,1,130604.86486892421,303.9787627318894,7953.133063401607,258816.3809717055,472.81925574836504
SARIMAX,0,1,1,1,0,0,102795.19584211308,267.43487135483406,8036.245190000594,75105.43138421608,232.87680249735715
SARIMAX,0,1,1,1,0,1,134364.67570877878,308.43562239204607,8050.88599543013,280140.53941728966,492.86111821801364
SARIMAX,0,1,1,1,1,0,1508475.3042461264,1050.4746986042785,8197.189485832725,19787386.257610217,4236.118654884627
SARIMAX,0,1,1,1,1,1,131734.3536831817,305.4783960518155,7954.54225479627,264627.94115776947,478.60541160329785
SARIMAX,0,1,2,0,0,0,95080.35488317997,257.92721905914937,8096.498638616778,66547.55767802788,215.58402053775794
SARIMAX,0,1,2,0,0,1,89039.51928499567,249.23188803836078,8007.316970691583,57921.50068006808,198.7574085698844
SARIMAX,0,1,2,0,1,0,184766.4489911734,356.24062985140057,8363.995910040709,338002.5558326146,529.1470484646743
SARIMAX,0,1,2,0,1,1,119126.11790329855,288.7220589720315,7918.253553908181,203518.14956075166,413.9771428219872
SARIMAX,0,1,2,1,0,0,95870.06636723288,257.6941341645235,8016.536449336601,65615.98595475148,216.63946380338962
SARIMAX,0,1,2,1,0,1,119540.15929555503,289.54677574717635,8015.712460881359,205120.73623503392,416.0478712092417
SARIMAX,0,1,2,1,1,0,173367.55409498463,350.94681288389216,8153.442626541436,328063.9251027905,534.4024026488729
SARIMAX,0,1,2,1,1,1,119322.90352454701,288.988909964715,7920.231973232405,204747.68186618428,415.3591507832831
SARIMAX,0,1,3,0,0,0,80648.01121791132,234.6486554374042,8081.993917288002,45007.17455176412,168.95212579607218
SARIMAX,0,1,3,0,0,1,79932.28037916188,232.62140114391056,7990.868186099924,42597.643332595326,163.36380578242355
SARIMAX,0,1,3,0,1,0,181550.61466610394,353.967226715784,8337.384799248626,330701.33872158255,524.1002483994785
SARIMAX,0,1,3,0,1,1,107335.7833428933,272.05269860654994,7904.813158981397,159194.7817100218,359.84290425056963
SARIMAX,0,1,3,1,0,0,79094.88414906377,231.19353815969788,8041.594586505471,41406.41037056681,160.81549302571196
SARIMAX,0,1,3,1,0,1,106673.1733417089,271.4190822837274,8002.181278252485,155258.41108224264,355.149813444555
SARIMAX,0,1,3,1,1,0,148956.93281579277,324.0348873921912,8152.79053007542,299841.89226020535,508.6273506703817
SARIMAX,0,1,3,1,1,1,106696.25236142603,271.1241873874275,7906.7770055633955,156371.64665591446,356.1399003018848
SARIMAX,0,1,4,0,0,0,79507.49797858,231.78342207527348,8065.221032245689,40630.97838233645,159.1033852573091
SARIMAX,0,1,4,0,0,1,77560.41409522362,226.92121448247485,7971.9854140548,36361.61295825084,149.5455691364792
SARIMAX,0,1,4,0,1,0,184432.39732159852,356.6422559423606,8316.375176162168,338042.81783630955,529.4975983946881
SARIMAX,0,1,4,0,1,1,93695.56648959625,252.220150610938,7887.937834198066,103370.3392589843,279.4344648371698
SARIMAX,0,1,4,1,0,0,76619.66635481003,224.40530249671426,8034.952887995464,34752.96551229938,145.76024869076502
SARIMAX,0,1,4,1,0,1,94045.90437060686,252.6920449734953,7984.593011231514,104958.28069139316,282.0080885001732
SARIMAX,0,1,4,1,1,0,151952.75359363147,327.5394725626676,8144.144889959797,308754.6338643695,516.7714380473438
SARIMAX,0,1,4,1,1,1,92188.14404349955,249.9340402558954,7889.527925270231,96443.78668399045,268.2970123373957
SARIMAX,1,0,0,0,0,0,67363.46240982738,195.0773036617301,8071.38466084757,22951.60233452334,117.71724223059653
SARIMAX,1,0,0,0,0,1,66156.90044090859,192.94089053890312,7982.144417105158,22549.69171495063,117.00223951248246
SARIMAX,1,0,0,0,1,0,154725.8631778752,324.86307190078645,8367.127297924335,119262.52670359096,280.89033558733377
SARIMAX,1,0,0,0,1,1,74710.75601599521,205.02045799581936,7926.205117285172,24724.948093218914,122.16305410483797
SARIMAX,1,0,0,1,0,0,66150.55567437904,192.9268157461725,7982.102806519556,22549.69088324251,117.00224015888352
SARIMAX,1,0,0,1,0,1,66136.33730138224,192.89510959614552,7984.03642924471,22549.713272498786,117.00222177174618
SARIMAX,1,0,0,1,1,0,161543.4676005282,339.5992579335423,8125.115796068929,131077.67783571334,314.94171985362584
SARIMAX,1,0,0,1,1,1,74985.54217732893,205.66513288887893,7927.199126023833,24957.168467608957,122.8182963735047
SARIMAX,1,0,1,0,0,0,66152.69185495659,192.98829389892643,8056.022289704438,22549.693720269348,117.0022393856963
SARIMAX,1,0,1,0,0,1,66139.84491094985,192.95041366751514,7967.265707488768,22549.69600531157,117.00223989772077
SARIMAX,1,0,1,0,1,0,142135.27391882823,310.47962184756136,8362.099661204611,108458.49452010501,266.8940964057596
SARIMAX,1,0,1,0,1,1,78143.8357434998,210.6543705344535,7910.156619897466,26251.578802661,126.22371870799839
SARIMAX,1,0,1,1,0,0,66135.31867123484,192.9400068467963,7979.532437243887,22549.69515228084,117.0022404588305
SARIMAX,1,0,1,1,0,1,66709.02798501887,193.58443163526013,7967.829447560845,22941.154856877376,117.78569883962884
SARIMAX,1,0,1,1,1,0,133663.21072845004,307.2336168307454,8124.720089385377,108187.3569287691,282.282001459122
SARIMAX,1,0,1,1,1,1,78337.7155483946,214.03016036332107,7918.8158133515735,27203.631296158193,127.67720929497236
SARIMAX,1,0,2,0,0,0,66070.11307698002,192.82115753072873,8045.1982735489,22549.69544473914,117.00224174586369
SARIMAX,1,0,2,0,0,1,66057.06674305223,192.7828176690202,7956.367294779976,22549.6952915431,117.00224110263933
SARIMAX,1,0,2,0,1,0,144857.01563791936,313.7916935304694,8343.213794652384,110956.69595661064,271.14553252711073
SARIMAX,1,0,2,0,1,1,81026.09529079974,216.64262977892787,7902.034123957103,27522.712283509907,129.00057392100263
SARIMAX,1,0,2,1,0,0,66498.45335503774,193.07769268064646,7979.69500936553,22857.812888854907,117.65024951783644
SARIMAX,1,0,2,1,0,1,66049.36518382562,192.76583122677636,7958.320456570709,22549.72908198111,117.00224027260158
SARIMAX,1,0,2,1,1,0,117822.99841873461,287.77223682857306,8131.500072789351,94853.3087237382,259.3838004439151
SARIMAX,1,0,2,1,1,1,80778.80295301502,220.71251078985466,7912.163770805381,30700.443525566166,137.55237006214944
SARIMAX,1,0,3,0,0,0,66216.21150486056,193.10388059747143,8033.484739667416,22549.70211306698,117.00224008718361
SARIMAX,1,0,3,0,0,1,66263.27945163555,192.6303218838452,7941.739022606446,22727.31370296555,117.23803774211056
SARIMAX,1,0,3,0,1,0,99344.06917382298,248.27656600260727,8329.896858387416,46729.24698901592,173.23784731199075
SARIMAX,1,0,3,0,1,1,80614.76603662613,220.53261570529313,7900.487768845667,30744.335300334,137.66499140213395
SARIMAX,1,0,3,1,0,0,66186.83354328324,193.02507652590086,7981.536766575278,22549.701429231834,117.00224196730002
SARIMAX,1,0,3,1,0,1,66166.76088428292,192.9844038042384,7944.673628755054,22549.71894154365,117.00217917783233
SARIMAX,1,0,3,1,1,0,75578.80788926999,215.03791146538197,8142.06298805902,36344.09945398207,152.1943428627824
SARIMAX,1,0,3,1,1,1,81609.62528800996,221.76632146187427,7901.93878977979,30537.06534741689,137.08605938867828
SARIMAX,1,0,4,0,0,0,66296.00279198449,193.22562589220033,8019.588779208281,22549.730998041596,117.0022469974494
SARIMAX,1,0,4,0,0,1,66219.7001239776,193.0674540143963,7931.903708884727,22549.69104559443,117.00223939933075
SARIMAX,1,0,4,0,1,0,114308.91067207753,276.1450828934918,8287.15870517762,71938.7482013299,211.16240535156575
SARIMAX,1,0,4,0,1,1,79289.29503966928,218.58529388115988,7888.780734658316,30724.70885061042,137.587887905785
SARIMAX,1,0,4,1,0,0,66239.64129663433,193.05398264125319,7983.003834481269,22564.73260135874,117.01437494202365
SARIMAX,1,0,4,1,0,1,66199.4410600526,193.02328495759414,7933.86200855203,22549.718021780252,117.00218376910085
