model,p,d,q,P,D,Q,MSE,MAE,AIC,ForeMSE,ForeMAE
SARIMA,0,0,6,2,0,0,182324.6532,366.7935793,8023.303576,1112857.312,1020.971458
SARIMA,0,0,6,2,0,1,160205.7559,333.4889403,8023.303576,540167.9909,692.6248043
SARIMA,0,0,6,2,0,2,81607.27472,217.0988581,8023.303576,62273.86437,201.4018989
SARIMA,0,0,6,2,1,0,98391.08453,261.6416269,8023.303576,68302.34901,215.3135645
SARIMA,0,0,6,2,1,1,82724.10307,223.0841144,8023.303576,30897.21847,138.1475169
SARIMA,0,0,6,2,1,2,82886.22451,223.1908081,8023.303576,30903.60979,138.1136695
SARIMA,0,1,0,0,0,0,79691.72622,219.087001,8023.303576,42537.90832,163.1129454
SARIMA,0,1,0,0,0,1,83514.84732,221.6115282,8023.303576,42412.75948,161.2419348
SARIMA,0,1,0,0,0,2,80169.00408,217.6775823,8023.303576,42198.70014,161.1622186
SARIMA,0,1,0,0,1,0,1394218.14,1045.471821,8023.303576,35137813.11,5573.969291
SARIMA,0,1,0,0,1,1,97967.52642,258.429785,8023.303576,155217.7729,351.6209031
SARIMA,0,1,0,0,1,2,96069.1416,255.6520653,8023.303576,142484.0042,334.7053803
SARIMA,0,1,0,1,0,0,83698.84727,220.9908524,8023.303576,42806.62674,161.74124
SARIMA,0,1,0,1,0,1,89785.62172,247.0972856,8023.303576,103527.8032,279.5056526
SARIMA,0,1,0,1,0,2,92116.27592,250.7195116,8023.303576,120892.1076,304.9751966
SARIMA,0,1,0,1,1,0,193542.7932,370.0572205,8023.303576,689453.8696,788.9726175
SARIMA,0,1,0,1,1,1,96990.12532,257.0074566,8023.303576,150396.6036,345.1176928
SARIMA,0,1,0,1,1,2,96124.1654,255.7331906,8023.303576,138800.311,330.0205244
SARIMA,0,1,0,2,0,0,74624.78261,213.2630116,8023.303576,42891.69038,164.2101683
SARIMA,0,1,0,2,0,1,90574.80417,248.2807012,8023.303576,108169.1881,286.2475423
SARIMA,0,1,0,2,0,2,91446.34569,249.7276558,8023.303576,112743.7424,293.3435161
SARIMA,0,1,0,2,1,0,685019.1888,701.1595908,8023.303576,7761931.187,2655.687367
SARIMA,0,1,0,2,1,1,93725.6265,252.0772961,8023.303576,122021.5777,306.3207309
SARIMA,0,1,0,2,1,2,92376.44541,249.759229,8023.303576,117262.298,298.984232
SARIMA,0,1,1,0,0,0,89998.68541,253.1088463,8023.303576,71923.82759,222.112187
SARIMA,0,1,1,0,0,1,87244.44747,248.3935158,8023.303576,66783.52982,212.5369147
SARIMA,0,1,1,0,0,2,93051.88343,257.5351536,8023.303576,76901.7291,230.8863564
SARIMA,0,1,1,0,1,0,423504.641,562.3635165,8023.303576,11841415.66,3217.490693
SARIMA,0,1,1,0,1,1,130295.1852,303.5876355,8023.303576,258555.6642,472.5501952
SARIMA,0,1,1,0,1,2,127308.0359,299.9397713,8023.303576,235120.5191,448.8504616
SARIMA,0,1,1,1,0,0,82451.4946,238.3193855,8023.303576,58914.30795,197.400144
SARIMA,0,1,1,1,0,1,133444.9636,307.1859385,8023.303576,277658.1921,490.3967311
SARIMA,0,1,1,1,0,2,132194.6403,305.5870577,8023.303576,263313.7027,476.2836081
SARIMA,0,1,1,1,1,0,1504831.329,1049.214547,8023.303576,19750860.55,4232.200076
SARIMA,0,1,1,1,1,1,131409.7987,305.0701679,8023.303576,264351.9522,478.3238063
SARIMA,0,1,1,1,1,2,131348.1501,305.0652463,8023.303576,258730.9673,472.94068
SARIMA,0,1,1,2,0,0,122684.6119,299.610483,8023.303576,118880.9503,297.7311433
SARIMA,0,1,1,2,0,1,133815.1549,307.6157548,8023.303576,275735.3914,488.2728111
SARIMA,0,1,1,2,0,2,137711.3023,312.3552325,8023.303576,294322.2606,505.5995426
SARIMA,0,1,1,2,1,0,1723464.861,1119.785797,8023.303576,24078977.01,4668.633128
SARIMA,0,1,1,2,1,1,128840.7233,301.8792513,8023.303576,247409.5035,461.4538648
SARIMA,0,1,1,2,1,2,131249.1823,304.935471,8023.303576,257840.5286,472.0608566
SARIMA,0,1,2,0,0,0,78794.95208,227.5692256,8023.303576,50884.80295,181.5513118
SARIMA,0,1,2,0,0,1,78204.87534,225.7604134,8023.303576,48064.23928,175.9442723
SARIMA,0,1,2,0,0,2,76948.72757,222.9729952,8023.303576,47504.50332,174.8308638
SARIMA,0,1,2,0,1,0,183894.7119,355.3135704,8023.303576,333212.954,524.9088878
SARIMA,0,1,2,0,1,1,118904.3356,288.4397637,8023.303576,203684.6709,414.1548736
SARIMA,0,1,2,0,1,2,115977.4736,284.567868,8023.303576,184479.9747,392.0147411
SARIMA,0,1,2,1,0,0,77535.05301,224.205351,8023.303576,47353.80834,174.5229304
SARIMA,0,1,2,1,0,1,118504.3032,288.0466875,8023.303576,200908.2872,411.2067007
SARIMA,0,1,2,1,0,2,116663.5576,285.4731453,8023.303576,187438.5667,395.4553891
SARIMA,0,1,2,1,1,0,148756.8433,323.5106839,8023.303576,298887.6795,507.3718566
SARIMA,0,1,2,1,1,1,119094.8564,288.6986348,8023.303576,204902.4919,415.5229347
SARIMA,0,1,2,1,1,2,121622.5265,292.0390503,8023.303576,218050.7678,430.1292515
SARIMA,0,1,2,2,0,0,75805.33388,211.6626403,8023.303576,42158.25774,161.3576558
SARIMA,0,1,2,2,0,1,119938.1244,289.8882408,8023.303576,208186.2496,419.2133798
SARIMA,0,1,2,2,0,2,129868.1835,303.5857147,8023.303576,267402.9959,482.0119606
SARIMA,0,1,2,2,1,0,118045.2143,288.9922382,8023.303576,194958.0541,400.8105399
