model,p,d,q,MSE,MAE,AIC,ForeMSE,ForeMAE
ARIMAX,3,0,7,71612.46363463967,202.75432210168356,7987.879521848501,22550.978737041405,117.00160039694032
ARIMAX,3,1,0,95378.94180577643,255.08010977710842,8116.520714896082,62996.95046287634,209.17198309974577
ARIMAX,3,1,1,78518.13204793665,226.33764684256187,8104.72315879575,34784.88524416853,145.8591345662466
ARIMAX,3,1,2,77998.8678037711,226.78568130226682,8107.189324949446,35740.814106577964,148.22273246864782
ARIMAX,3,1,3,98908.06604273879,262.63992404283476,8167.261648420481,74594.06384582706,233.5649941432463
ARIMAX,3,1,4,79649.58584317284,230.3377529666488,8203.883995545042,53132.92380946454,186.03505734287438
ARIMAX,3,1,5,82647.84378882858,233.7141693891474,8108.9576063948025,50246.68697500249,185.5496702088671
ARIMAX,3,1,6,92328.97139044416,249.265577333625,8110.075011725088,65305.4270974826,215.72147923469632
ARIMAX,3,1,7,79784.12972168744,232.15783449424742,8138.490599372883,52495.72268686011,184.74226337932407
ARIMAX,4,0,0,66132.90527505585,192.94220852868168,8033.705652968187,22549.692150308143,117.00224045774603
ARIMAX,4,0,1,66137.62365356965,192.9516720305398,8034.528912129534,22549.821541443627,117.00221689683363
ARIMAX,4,0,2,66474.89304026231,193.79672713238986,8036.67908982802,22706.973808567287,117.21382046428688
ARIMAX,4,0,3,66335.72023927512,193.25816635476812,8037.304270620736,22549.827448326123,117.00217843881063
ARIMAX,4,0,4,66223.93671480217,193.07150082684421,8024.966145378172,22549.841748282997,117.0023281260752
ARIMAX,4,0,5,70851.26832227777,201.36775279525193,8009.4066094133095,22551.172307755165,117.00364956203836
ARIMAX,4,0,6,70968.75648223351,201.48984605052976,7998.394573573253,22550.5493333754,117.00279164162976
ARIMAX,4,0,7,71864.24714662039,203.09023022204033,7988.252492145562,22550.324520534927,117.00184528055648
ARIMAX,4,1,0,94767.88816504474,254.06460105790617,8090.001522833224,62325.501255871975,207.7479708468399
ARIMAX,4,1,1,79150.54393661024,229.7585703997026,8101.879385516748,39119.97309349492,154.97820176930324
ARIMAX,4,1,2,78730.84922316179,229.13895041863003,8098.2205405564655,38210.83682866635,153.05753501817063
ARIMAX,4,1,3,87274.80590118752,242.0432904639644,8155.480900531218,61816.55568938639,207.64784274870436
ARIMAX,4,1,4,81144.47121928036,232.1071020026825,8129.993086518955,48824.7078905719,182.4296558197729
ARIMAX,4,1,5,83173.05882554,236.1005040638173,8125.641403620991,51995.345998965764,189.26643790811374
ARIMAX,4,1,6,89094.8606674667,246.71432711187137,8092.279128205864,61605.90159133082,208.81046992720388
ARIMAX,4,1,7,87195.89415928068,241.58427514570255,8078.449274751057,57880.60256617839,201.5481588648009
ARIMAX,5,0,0,66234.59565664892,193.1239930943417,8019.945395857212,22549.691810952092,117.00224093737297
ARIMAX,5,0,1,66188.07324502082,193.04308925290553,8021.528929030055,22549.749932628645,117.00227113794342
ARIMAX,5,0,2,65981.92323466908,192.74492474342983,8030.7937980162915,22531.454957838698,116.91981941908872
ARIMAX,5,0,3,65873.07460648674,193.49580608526665,8029.195842949361,22576.327364242774,116.10662837535763
ARIMAX,5,0,4,70054.18939279851,200.9555168508063,8026.350144722584,22640.711728781258,116.21908801067109
ARIMAX,5,0,5,71722.17224985467,202.8643002613093,8007.564693455761,22541.78617246747,116.98147577926667
ARIMAX,5,0,6,67383.24191152396,195.06607404061668,8002.977374790859,22539.110393031617,116.9787534375053
ARIMAX,5,0,7,71653.4678919682,202.8461391887267,7989.874908306434,22550.100733062296,117.00224405255707
ARIMAX,5,1,0,94780.71348570628,258.6440124270966,8133.154272262418,67903.90173653718,213.92720817475234
ARIMAX,5,1,1,78992.8631956468,228.86994267265172,8112.450882355305,40837.218958377496,158.44805344789035
ARIMAX,5,1,2,88950.67608977546,243.67208435642962,8155.72348348141,59631.23469483748,204.8856691307205
ARIMAX,5,1,3,79184.15413714561,220.49144053153688,8102.048749697549,34879.420577235345,147.04561446874789
ARIMAX,5,1,4,98195.10450680015,266.2500387727454,8167.757294338564,86711.7075146067,247.47610654948878
ARIMAX,5,1,5,83595.82368162229,234.75066398187857,8105.817658968591,51271.93907313101,187.70573874069618
ARIMAX,5,1,6,96591.06479224886,258.7826675762132,8099.317615800348,72677.5722940048,229.3204665003774
ARIMAX,5,1,7,93180.21007247237,252.65724537709784,8084.274095785,67160.5214792794,219.37660081259278
ARIMAX,6,0,0,66305.40067950744,193.24234116357545,8008.313831873691,22549.691717740145,117.0022409004733
ARIMAX,6,0,1,66299.28102519116,193.2244346314344,8010.336486571642,22549.69121823334,117.00224066726054
ARIMAX,6,0,2,70836.65515676365,201.32269027715836,8007.270158014586,22552.30260343179,117.00447671170485
ARIMAX,6,0,3,65981.4933564598,193.96184409751788,8020.1300971515375,22725.925347756092,116.40286989020495
ARIMAX,6,0,4,71352.93439166894,202.21103424266147,8011.807227013428,22550.20558456499,117.0021013293434
ARIMAX,6,0,5,70702.36648273368,201.08461441407286,8010.892274396706,22549.88576776947,117.00181078631725
ARIMAX,6,0,6,73564.66819940433,206.67206522087713,7994.903381310485,23558.93763730957,119.09696202409627
ARIMAX,6,0,7,71664.87456913164,202.8393332828989,7989.224462697555,22549.914325324135,117.00213077179421
ARIMAX,6,1,0,99025.91756628189,265.4566760612217,8102.372536922607,75730.82749949396,229.50479313505926
ARIMAX,6,1,1,81306.4359447875,223.8188024717484,8095.006963768335,35767.87610938616,148.58962627748062
ARIMAX,6,1,2,90177.16624056059,246.8793001913722,8144.1588846326995,62214.78740124002,209.7671276442925
ARIMAX,6,1,3,82097.05825101523,237.6699767030628,8168.825135416979,57913.50775252734,195.41640233919614
ARIMAX,6,1,4,102242.15575737842,273.2043293964181,8169.353970344536,89572.66969130165,252.19916260775437
ARIMAX,6,1,5,95093.12337281428,256.5343346110468,8125.724538953587,70388.76500841405,225.4857844797148
ARIMAX,6,1,6,88017.1587132721,243.30414147072796,8095.290757407163,59112.35896450663,203.98442369451328
ARIMAX,6,1,7,99707.06023846068,262.9606594250917,8090.687124094321,75660.04731627148,234.94818651465076
ARIMAX,7,0,0,66234.3610731446,193.0810974308348,7997.73622892845,22549.691687463477,117.00224114745848
ARIMAX,7,0,1,66244.37990311533,193.09986347936078,7999.740605284947,22549.691302029823,117.00224089646089
ARIMAX,7,0,2,70823.36714447402,201.30149288817043,7996.999907811341,22550.068577919832,117.00230859612645
ARIMAX,7,0,3,70910.97507981802,201.4489388091268,7996.445198524439,22550.14695460081,117.00077535169898
ARIMAX,7,0,4,71512.45237212055,202.51524904661707,8001.22195949323,22550.453772104633,117.00190903574176
ARIMAX,7,0,5,71451.10044703603,202.0954618355572,7999.728426944782,22541.95641167246,116.97263725618664
ARIMAX,7,0,6,73980.65635113591,207.36678086055414,7993.68889373166,23749.679086312473,119.61129916290784
ARIMAX,7,0,7,71698.86913033409,202.8493609323731,7991.852039785583,22549.954131254886,117.00210221181548
ARIMAX,7,1,0,99831.59445905742,266.94349943342144,8092.351481155365,78040.73489359529,233.78253055819832
ARIMAX,7,1,1,97557.23199273489,265.8071502781373,8146.066076083474,82538.50599970564,240.70136571260355
ARIMAX,7,1,2,77540.60741500484,215.2697301544824,8123.531047049253,41174.281546329585,159.1878981154679
ARIMAX,7,1,3,81643.00368081294,221.27202018841922,8078.582899121251,34632.310991676655,145.3929985775546
ARIMAX,7,1,4,80831.73214136207,233.70820679352997,8175.951058695895,55771.36971882343,191.33739378977268
ARIMAX,7,1,5,82755.0164574784,222.18744515614986,8070.205453687462,34957.23620084436,145.79433407065537
ARIMAX,7,1,6,92499.97246733814,247.83782082821565,8094.247254051237,64460.64602641679,213.4905022786053
ARIMAX,7,1,7,87532.5186071436,238.17454211939526,8051.834792093552,53177.444506493615,189.21586918808384
