model,MSE,MAE,ForeMSE,ForeMAE,AIC,forecast
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,115.47119626605297
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,103.15405626742586
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,95.68671547534359
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,100.48790312350991
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,103.8823977078531
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,76.20805307491287
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,18.472570846250505
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,3.9338995156629153
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,2.3045065659542843
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,0.7996398981111952
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-1.0549554141255157
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-2.692875358768106
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-4.593768452999484
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-6.17622610542162
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-7.928034888397178
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-9.267439477829157
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-10.698987532517094
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-11.64609675984218
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,44.46513594429712
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,74.1658357212317
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,89.94443150259985
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,105.97780270218476
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,123.33364211942745
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,123.6762904380144
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,94.33302319890078
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,82.55334456330411
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,75.92852361436314
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,81.8513431874569
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,86.6113718001078
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,60.50342103219873
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,4.486054854668055
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-8.2360453852192
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-8.00570009322621
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-7.662810029501657
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-7.734521364237935
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-7.703077622409751
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-8.090759951790915
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-8.351293935810077
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-8.998964719938272
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-9.469131651056728
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-10.273738110172076
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-10.83396229381151
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,45.43548453542269
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,75.08539610935111
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,90.63096326979144
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,106.28146590780705
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,123.14098805311357
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,122.91249071117471
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,92.9623058827197
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,80.57768806100586
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,73.38473653392026
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,78.80672810535941
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,83.15822936477912
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,56.752695818323446
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,0.5604539154999202
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-12.20911726764598
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-11.90104813126311
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-11.363879619984345
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-11.139064866029798
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-10.727819231975786
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-10.674877715142316
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-10.458602530051394
